question,query,
Rank the bikes from highest price to lowest price.,SELECT * FROM bikes ORDER BY price DESC;,
Sort the bikes in the descending order of price,SELECT * FROM bikes ORDER BY price DESC;,
Can you rank the bikes from most expensive to least expensive,SELECT * FROM bikes ORDER BY price DESC;,
Show me the bikes from the highest price to the lowest,SELECT * FROM bikes ORDER BY price DESC;,
"Please list the bikes in order, starting with the most expensive",SELECT * FROM bikes ORDER BY price DESC;,
Can you show the bikes in descending order of price,SELECT * FROM bikes ORDER BY price DESC;,
Arrange the bikes from the least expensive to the most expensive,SELECT * FROM bikes ORDER BY price DESC;,
How about sorting the bikes from the highest price to the lowest,SELECT * FROM bikes ORDER BY price DESC;,
"Give me the bikes in order, starting from the costliest",SELECT * FROM bikes ORDER BY price DESC;,
Sort the bikes in the ascending order of price,SELECT * FROM bikes ORDER BY price ASC;,
Arrange the bikes by price from lowest to highest,SELECT * FROM bikes ORDER BY price ASC;,
List the bikes in ascending order of their price,SELECT * FROM bikes ORDER BY price ASC;,
Sort the bikes from the least expensive to the most expensive,SELECT * FROM bikes ORDER BY price ASC;,
"Order the bikes by price, starting with the least expensive",SELECT * FROM bikes ORDER BY price ASC;,
Rank the bikes from lowest price to highest price,SELECT * FROM bikes ORDER BY price ASC;,
"Arrange the bikes by price, starting with the cheapest",SELECT * FROM bikes ORDER BY price ASC;,
Sort the bikes from lowest price to highest price,SELECT * FROM bikes ORDER BY price ASC;,
"I want to see the bikes ranked by price, from cheapest to costliest",SELECT * FROM bikes ORDER BY price ASC;,
"Can you list the bikes, starting with the lowest price",SELECT * FROM bikes ORDER BY price ASC;,
"Arrange the bikes by price, from the lowest to highest",SELECT * FROM bikes ORDER BY price ASC;,
"Show the bikes sorted by price, starting from the lowest",SELECT * FROM bikes ORDER BY price ASC;,
List the bikes from the most affordable to the most expensive,SELECT * FROM bikes ORDER BY price ASC;,
Rank the bikes from cheapest to most expensive for me,SELECT * FROM bikes ORDER BY price ASC;,
Sort the bikes in the descending order of milage,SELECT * FROM bikes ORDER BY milage_in_kmpl DESC;,
Arrange the bikes by mileage from highest to lowest,SELECT * FROM bikes ORDER BY milage_in_kmpl DESC;,
List the bikes in descending order of their mileage,SELECT * FROM bikes ORDER BY milage_in_kmpl DESC;,
Sort the bikes from the highest mileage to the lowest mileage,SELECT * FROM bikes ORDER BY milage_in_kmpl DESC;,
"Order the bikes by mileage, starting with the highest",SELECT * FROM bikes ORDER BY milage_in_kmpl DESC;,
Rank the bikes from highest mileage to lowest mileage,SELECT * FROM bikes ORDER BY milage_in_kmpl DESC;,
Sort the bikes in the ascending order of milage,SELECT * FROM bikes ORDER BY milage_in_kmpl ASC;,
Arrange the bikes by mileage from lowest to highest,SELECT * FROM bikes ORDER BY milage_in_kmpl ASC;,
List the bikes in ascending order of their mileage,SELECT * FROM bikes ORDER BY milage_in_kmpl ASC;,
Sort the bikes from the lowest mileage to the highest mileage,SELECT * FROM bikes ORDER BY milage_in_kmpl ASC;,
"Order the bikes by mileage, starting with the lowest",SELECT * FROM bikes ORDER BY milage_in_kmpl ASC;,
Rank the bikes from lowest mileage to highest mileage,SELECT * FROM bikes ORDER BY milage_in_kmpl ASC;,
top fuel efficient bikes in india,SELECT * FROM bikes ORDER BY milage_in_kmpl DESC;,
Sort the bikes in the descending order of milage,SELECT * FROM bikes ORDER BY milage_in_kmpl DESC;,
Sort the bikes in the descending order of power,SELECT * FROM bikes ORDER BY power_figures_in_bhp DESC;,
Arrange the bikes by power from highest to lowest,SELECT * FROM bikes ORDER BY power_figures_in_bhp DESC;,
List the bikes in descending order of their power,SELECT * FROM bikes ORDER BY power_figures_in_bhp DESC;,
Sort the bikes from the highest power to the lowest power,SELECT * FROM bikes ORDER BY power_figures_in_bhp DESC;,
